10336 ,"חירויות הפרט בממשל ארה""ב ",הנחיה מקוונת 
10336 ,"חירויות הפרט בממשל ארה""ב ",ללא מפגשי הנחיה 
10336 ,"חירויות הפרט בממשל ארה""ב ",ואדי ערה - קמפוס ואדי ערה 
10336 ,"חירויות הפרט בממשל ארה""ב ",אור יהודה - מכללת אור יהודה 
10336 ,"חירויות הפרט בממשל ארה""ב ",באר שבע - קמפוס בית יציב 
10336 ,"חירויות הפרט בממשל ארה""ב ",נס ציונה 
10336 ,"חירויות הפרט בממשל ארה""ב ",אשדוד - מכללת אשדוד 
20581 ,חישוביות ביולוגית ,הנחיה מקוונת 
20581 ,חישוביות ביולוגית ,ללא מפגשי הנחיה 
14006 ,חלופות בהערכת הישגים ,הנחיה מקוונת 
13001 ,חקר ביצועים ,הנחיה מקוונת 
10143 ,חקר השפה: יסודות ויישומים ,ללא מפגשי הנחיה 
10143 ,חקר השפה: יסודות ויישומים ,תל אביב - תיכון חדש 
20474 ,חשבון אינפיניטסימלי 1 ,הנחיה מקוונת 
20474 ,חשבון אינפיניטסימלי 1 ,הנחיה מקוונת 
20474 ,חשבון אינפיניטסימלי 1 ,הנחיה מקוונת 
20474 ,חשבון אינפיניטסימלי 1 ,ללא מפגשי הנחיה 
20474 ,חשבון אינפיניטסימלי 1 ,קבוצה ללא מפגשי הנחיה 
20474 ,חשבון אינפיניטסימלי 1 ,ירושלים - קמפוס ירושלים בגן הטכנולוגי 
20474 ,חשבון אינפיניטסימלי 1 ,חיפה - קמפוס חיפה בנמל 
20474 ,חשבון אינפיניטסימלי 1 ,חיפה - קמפוס חיפה בבית בירם 
20474 ,חשבון אינפיניטסימלי 1 ,חיפה - קמפוס חיפה בבית בירם 
20474 ,חשבון אינפיניטסימלי 1 ,חיפה - קמפוס חיפה בבית בירם 
20474 ,חשבון אינפיניטסימלי 1 ,פתח תקוה - מכללת פתח תקוה 
20474 ,חשבון אינפיניטסימלי 1 ,הכפר הירוק 
20474 ,חשבון אינפיניטסימלי 1 ,הכפר הירוק 
20474 ,חשבון אינפיניטסימלי 1 ,תל אביב - תיכון חדש 
20474 ,חשבון אינפיניטסימלי 1 ,תל אביב - תיכון חדש 
20474 ,חשבון אינפיניטסימלי 1 ,תל אביב - תיכון חדש 
20474 ,חשבון אינפיניטסימלי 1 ,תל אביב - קמפוס רמת אביב 
20474 ,חשבון אינפיניטסימלי 1 ,תל אביב - קמפוס רמת אביב 
20474 ,חשבון אינפיניטסימלי 1 ,תל אביב - קמפוס רמת אביב 
20474 ,חשבון אינפיניטסימלי 1 ,תל אביב - ביס אליאנס 
20474 ,חשבון אינפיניטסימלי 1 ,תל אביב - ביס אליאנס 
20474 ,חשבון אינפיניטסימלי 1 ,תל אביב - ביס אליאנס 
20474 ,חשבון אינפיניטסימלי 1 ,תל אביב - ביס אליאנס 
20474 ,חשבון אינפיניטסימלי 1 ,רמת גן - מכללת רמת גן 
20474 ,חשבון אינפיניטסימלי 1 ,באר שבע - קמפוס בית יציב 
20474 ,חשבון אינפיניטסימלי 1 ,ערד - מרכז הצעירים האוניברסיטה הפתוחה 
20474 ,חשבון אינפיניטסימלי 1 ,רחובות - מכללת רחובות 
20475 ,חשבון אינפיניטסימלי 2 ,הנחיה מקוונת 
20475 ,חשבון אינפיניטסימלי 2 ,הנחיה מקוונת 
20475 ,חשבון אינפיניטסימלי 2 ,הנחיה מקוונת 
20475 ,חשבון אינפיניטסימלי 2 ,ללא מפגשי הנחיה 
20475 ,חשבון אינפיניטסימלי 2 ,קבוצה ללא מפגשי הנחיה 
20475 ,חשבון אינפיניטסימלי 2 ,חיפה - קמפוס חיפה בבית בירם 
20475 ,חשבון אינפיניטסימלי 2 ,תל אביב - קמפוס רמת אביב 
20475 ,חשבון אינפיניטסימלי 2 ,תל אביב - ביס אליאנס 
20475 ,חשבון אינפיניטסימלי 2 ,תל אביב - ביס אליאנס 
20406 ,חשבון דיפרנציאלי ואינטגרלי א ,הנחיה מקוונת 
20406 ,חשבון דיפרנציאלי ואינטגרלי א ,הנחיה מקוונת 
20406 ,חשבון דיפרנציאלי ואינטגרלי א ,הנחיה מקוונת 
20406 ,חשבון דיפרנציאלי ואינטגרלי א ,ללא מפגשי הנחיה 
20406 ,חשבון דיפרנציאלי ואינטגרלי א ,ירושלים - קמפוס ירושלים בגן הטכנולוגי 
20406 ,חשבון דיפרנציאלי ואינטגרלי א ,דעת ירושלים 
20406 ,חשבון דיפרנציאלי ואינטגרלי א ,חיפה - קמפוס חיפה בנמל 
20406 ,חשבון דיפרנציאלי ואינטגרלי א ,חיפה - קמפוס חיפה בבית בירם 
20406 ,חשבון דיפרנציאלי ואינטגרלי א ,ירושלים - בית ברכה 
20406 ,חשבון דיפרנציאלי ואינטגרלי א ,ירושלים - בית ברכה 
20406 ,חשבון דיפרנציאלי ואינטגרלי א ,תל אביב - קמפוס רמת אביב 
20406 ,חשבון דיפרנציאלי ואינטגרלי א ,תל אביב - ביס אליאנס 
20406 ,חשבון דיפרנציאלי ואינטגרלי א ,רמת גן - מכללת רמת גן 
20406 ,חשבון דיפרנציאלי ואינטגרלי א ,באר שבע - קמפוס בית יציב 
20423 ,חשבון דיפרנציאלי ואינטגרלי ב ,הנחיה מקוונת 
20423 ,חשבון דיפרנציאלי ואינטגרלי ב ,הנחיה מקוונת 
20423 ,חשבון דיפרנציאלי ואינטגרלי ב ,ללא מפגשי הנחיה 
20423 ,חשבון דיפרנציאלי ואינטגרלי ב ,חיפה - קמפוס חיפה בנמל 
20423 ,חשבון דיפרנציאלי ואינטגרלי ב ,ירושלים - בית ברכה 
20423 ,חשבון דיפרנציאלי ואינטגרלי ב ,תל אביב - ביס אליאנס 
10142 ,חשבון דיפרנציאלי לתלמידי כלכלה וניהול ,הנחיה מקוונת 
10142 ,חשבון דיפרנציאלי לתלמידי כלכלה וניהול ,הנחיה מקוונת 
10142 ,חשבון דיפרנציאלי לתלמידי כלכלה וניהול ,הנחיה מקוונת 
10142 ,חשבון דיפרנציאלי לתלמידי כלכלה וניהול ,ללא מפגשי הנחיה 
10142 ,חשבון דיפרנציאלי לתלמידי כלכלה וניהול ,ירושלים - קמפוס ירושלים בגן הטכנולוגי 
10142 ,חשבון דיפרנציאלי לתלמידי כלכלה וניהול ,חיפה והצפון - המכללה למינהל 
10142 ,חשבון דיפרנציאלי לתלמידי כלכלה וניהול ,חיפה - קמפוס חיפה בבית בירם 
10142 ,חשבון דיפרנציאלי לתלמידי כלכלה וניהול ,תל אביב - קמפוס רמת אביב 
10142 ,חשבון דיפרנציאלי לתלמידי כלכלה וניהול ,תל אביב - קמפוס רמת אביב 
10142 ,חשבון דיפרנציאלי לתלמידי כלכלה וניהול ,רמת גן - מכללת רמת גן 
10142 ,חשבון דיפרנציאלי לתלמידי כלכלה וניהול ,רמת גן - מכללת רמת גן 
10142 ,חשבון דיפרנציאלי לתלמידי כלכלה וניהול ,באר שבע - קמפוס בית יציב 
13002 ,חשבונאות למנהלים ,הנחיה מקוונת 
10860 ,חשבונאות ניהולית ,הנחיה מקוונת 
10860 ,חשבונאות ניהולית ,הנחיה מקוונת 
10860 ,חשבונאות ניהולית ,הנחיה מקוונת 
10860 ,חשבונאות ניהולית ,ללא מפגשי הנחיה 
10860 ,חשבונאות ניהולית ,חיפה - קמפוס חיפה בבית בירם 
10860 ,חשבונאות ניהולית ,ירושלים - בית ברכה 
10861 ,חשבונאות ניהולית מתקדמת ,הנחיה מקוונת 
10861 ,חשבונאות ניהולית מתקדמת ,ללא מפגשי הנחיה 
10861 ,חשבונאות ניהולית מתקדמת ,תל אביב - ביס אליאנס 
10706 ,חשבונאות פיננסית א ,הנחיה מקוונת 
10706 ,חשבונאות פיננסית א ,הנחיה מקוונת 
10706 ,חשבונאות פיננסית א ,ללא מפגשי הנחיה 
10706 ,חשבונאות פיננסית א ,תל אביב - ביס אליאנס 
10720 ,חשבונאות פיננסית ב ,הנחיה מקוונת 
10720 ,חשבונאות פיננסית ב ,ללא מפגשי הנחיה 
10720 ,חשבונאות פיננסית ב ,חיפה - קמפוס חיפה בבית בירם 
10720 ,חשבונאות פיננסית ב ,תל אביב - ביס אליאנס 
10922 ,חשבונאות פיננסית מתקדמת ,הנחיה מקוונת 
10922 ,חשבונאות פיננסית מתקדמת ,ללא מפגשי הנחיה 
10922 ,חשבונאות פיננסית מתקדמת ,קבוצה ללא מפגשי הנחיה 
10599 ,חשיבה אסטרטגית: תורת המשחקים ,הנחיה מקוונת 
10599 ,חשיבה אסטרטגית: תורת המשחקים ,ללא מפגשי הנחיה 
10599 ,חשיבה אסטרטגית: תורת המשחקים ,תל אביב - ביס אליאנס 
10337 ,חשיבה היסטורית ,הנחיה מקוונת 
10337 ,חשיבה היסטורית ,ללא מפגשי הנחיה 
13045 ,חשיבה יצירתית שיטתית ,הנחיה מקוונת 
20521 ,טופולוגיה קבוצתית ,ללא מפגשי הנחיה 
20521 ,טופולוגיה קבוצתית ,תל אביב - ביס אליאנס 
14027 ,טכנולוגיות דיגיטליות במערכות למידה ,הנחיה מקוונת 
14027 ,טכנולוגיות דיגיטליות במערכות למידה ,הנחיה מקוונת 
10950 ,"ידע דתי, סמכות וכריזמה באסלאם ",הנחיה מקוונת 
10950 ,"ידע דתי, סמכות וכריזמה באסלאם ",ללא מפגשי הנחיה 
10950 ,"ידע דתי, סמכות וכריזמה באסלאם ",נצרת - האוניברסיטה הפתוחה 
10950 ,"ידע דתי, סמכות וכריזמה באסלאם ",תל אביב - ביס אליאנס 
10950 ,"ידע דתי, סמכות וכריזמה באסלאם ",באר שבע - קמפוס בית יציב 
10573 ,יהדות גרמניה לנוכח אתגרי המודרניזציה ,הנחיה מקוונת 
10573 ,יהדות גרמניה לנוכח אתגרי המודרניזציה ,ללא מפגשי הנחיה 
14203 ,"יהדות, עבריות, ישראליות: היבטים תרבותיים ",תל אביב - קמפוס רמת אביב 
10204 ,יהודים בעידן של תמורות ,הנחיה מקוונת 
10204 ,יהודים בעידן של תמורות ,ללא מפגשי הנחיה 
10204 ,יהודים בעידן של תמורות ,מרכז י.נ.ר (ער) - ירושלים 
10110 ,יוון הקלאסית ,הנחיה מקוונת 
10110 ,יוון הקלאסית ,הנחיה מקוונת 
10110 ,יוון הקלאסית ,הנחיה מקוונת 
10110 ,יוון הקלאסית ,ללא מפגשי הנחיה 
10110 ,יוון הקלאסית ,תל אביב - ביס אליאנס 
13043 ,יזמות עסקית: היבטים תאורטיים וניהוליים ,הנחיה מקוונת 
13040 ,יחסי עבודה בעידן הגלובליזציה ,הנחיה מקוונת 
10788 ,יישוב סכסוכים בזירה הבין-לאומית ,הנחיה מקוונת 
10788 ,יישוב סכסוכים בזירה הבין-לאומית ,ללא מפגשי הנחיה 
20127 ,יישומי המחשב ויסודות התכנות למדעים ,הנחיה מקוונת 
20127 ,יישומי המחשב ויסודות התכנות למדעים ,הנחיה מקוונת 
20127 ,יישומי המחשב ויסודות התכנות למדעים ,הנחיה מקוונת 
20127 ,יישומי המחשב ויסודות התכנות למדעים ,ללא מפגשי הנחיה 
10915 ,ילדות בימי הביניים ,הנחיה מקוונת 
10915 ,ילדות בימי הביניים ,ללא מפגשי הנחיה 
10280 ,יסודות החשבונאות ,הנחיה מקוונת 
10280 ,יסודות החשבונאות ,הנחיה מקוונת 
10280 ,יסודות החשבונאות ,הנחיה מקוונת 
10280 ,יסודות החשבונאות ,הנחיה מקוונת 
10280 ,יסודות החשבונאות ,הנחיה מקוונת 
10280 ,יסודות החשבונאות ,חיפה - קמפוס חיפה בנמל 
10280 ,יסודות החשבונאות ,פתח תקוה - מכללת פתח תקוה 
10280 ,יסודות החשבונאות ,ירושלים - בית ברכה 
10280 ,יסודות החשבונאות ,הכפר הירוק 
10280 ,יסודות החשבונאות ,תל אביב - קמפוס רמת אביב 
10280 ,יסודות החשבונאות ,תל אביב - ביס אליאנס 
10280 ,יסודות החשבונאות ,רמת גן - מכללת רמת גן 
10280 ,יסודות החשבונאות ,רמת גן - מכללת רמת גן 
10280 ,יסודות החשבונאות ,באר שבע - קמפוס בית יציב 
10280 ,יסודות החשבונאות ,ראשון לציון - מכללת ראשון לציון 
10280 ,יסודות החשבונאות ,אשדוד - מכללת אשדוד 
10863 ,יסודות החשבונאות הפיננסית ,חיפה והצפון - המכללה למינהל 
,,
10863 ,יסודות החשבונאות הפיננסית ,חיפה - קמפוס חיפה בבית בירם 
,,
10863 ,יסודות החשבונאות הפיננסית ,תל אביב - קמפוס רמת אביב 
,,
10863 ,יסודות החשבונאות הפיננסית ,תל אביב - קמפוס רמת אביב 
,,
10863 ,יסודות החשבונאות הפיננסית ,רמת גן - מכללת רמת גן 
,,
10769 ,יסודות המחקר הכמותי א ,הנחיה מקוונת 
10769 ,יסודות המחקר הכמותי א ,הנחיה מקוונת 
10769 ,יסודות המחקר הכמותי א ,הנחיה מקוונת 
10769 ,יסודות המחקר הכמותי א ,הנחיה מקוונת 
10769 ,יסודות המחקר הכמותי א ,הנחיה מקוונת 
10769 ,יסודות המחקר הכמותי א ,ללא מפגשי הנחיה 
10769 ,יסודות המחקר הכמותי א ,ירושלים - קמפוס ירושלים בגן הטכנולוגי 
10769 ,יסודות המחקר הכמותי א ,חיפה - קמפוס חיפה בבית בירם 
10769 ,יסודות המחקר הכמותי א ,חיפה - קמפוס חיפה בבית בירם 
10769 ,יסודות המחקר הכמותי א ,תל אביב - ביס אליאנס 
10769 ,יסודות המחקר הכמותי א ,רמת גן - מכללת רמת גן 
10769 ,יסודות המחקר הכמותי א ,רמת גן - מכללת רמת גן 
91465 ,יסודות הערבית הספרותית א ,הנחיה מקוונת 
20125 ,יסודות הפיסיקה ,הנחיה מקוונת 
20125 ,יסודות הפיסיקה ,הנחיה מקוונת 
20125 ,יסודות הפיסיקה ,הנחיה מקוונת 
20125 ,יסודות הפיסיקה ,הנחיה מקוונת 
20125 ,יסודות הפיסיקה ,ללא מפגשי הנחיה 
20125 ,יסודות הפיסיקה ,תל אביב - ביס אליאנס 
20125 ,יסודות הפיסיקה ,תל אביב - ביס אליאנס 
20113 ,יסודות הפיסיקה א ,הנחיה מקוונת 
20113 ,יסודות הפיסיקה א ,הנחיה מקוונת 
20113 ,יסודות הפיסיקה א ,ללא מפגשי הנחיה 
20113 ,יסודות הפיסיקה א ,תל אביב - קמפוס רמת אביב 
20113 ,יסודות הפיסיקה א ,תל אביב - ביס אליאנס 
20114 ,יסודות הפיסיקה ב ,הנחיה מקוונת 
20114 ,יסודות הפיסיקה ב ,הנחיה מקוונת 
20114 ,יסודות הפיסיקה ב ,ללא מפגשי הנחיה 
20123 ,יסודות הפיסיקה לביולוגים א ,הנחיה מקוונת 
20123 ,יסודות הפיסיקה לביולוגים א ,הנחיה מקוונת 
20123 ,יסודות הפיסיקה לביולוגים א ,ללא מפגשי הנחיה 
20123 ,יסודות הפיסיקה לביולוגים א ,דעת ירושלים 
20123 ,יסודות הפיסיקה לביולוגים א ,תל אביב - קמפוס רמת אביב 
20123 ,יסודות הפיסיקה לביולוגים א ,תל אביב - ביס אליאנס 
10459 ,יסודות השלטון המקומי ,הנחיה מקוונת 
10459 ,יסודות השלטון המקומי ,ללא מפגשי הנחיה 
10459 ,יסודות השלטון המקומי ,בית שמש - בית הבנים 
10459 ,יסודות השלטון המקומי ,טבריה - האוניברסיטה הפתוחה 
10459 ,יסודות השלטון המקומי ,ואדי ערה - קמפוס ואדי ערה 
10459 ,יסודות השלטון המקומי ,מכללת מרכז הנגב 
10459 ,יסודות השלטון המקומי ,מכללת מרכז הנגב 
10459 ,יסודות השלטון המקומי ,אשדוד - מכללת אשדוד 
20478 ,יסודות התכנות בשפת Java ,הנחיה מקוונת 
20478 ,יסודות התכנות בשפת Java ,הנחיה מקוונת 
20478 ,יסודות התכנות בשפת Java ,ללא מפגשי הנחיה 
20478 ,יסודות התכנות בשפת Java ,חיפה - קמפוס חיפה בנמל 
20478 ,יסודות התכנות בשפת Java ,תל אביב - קמפוס רמת אביב 
20478 ,יסודות התכנות בשפת Java ,רמת גן - מכללת רמת גן 
10756 ,יסודות מדעי הקוגניציה ,תל אביב - ביס אליאנס 
10489 ,יסודות שפת האמנות החזותית ,הנחיה מקוונת 
10489 ,יסודות שפת האמנות החזותית ,הנחיה מקוונת 
10489 ,יסודות שפת האמנות החזותית ,תל אביב - קמפוס רמת אביב 
10250 ,יסודות תורת המשמעות: סמנטיקה ופרגמטיקה ,הנחיה מקוונת 
10250 ,יסודות תורת המשמעות: סמנטיקה ופרגמטיקה ,ללא מפגשי הנחיה 
10797 ,יצירה חזותית בחברה היהודית ,הנחיה מקוונת 
10797 ,יצירה חזותית בחברה היהודית ,ללא מפגשי הנחיה 
10208 ,ירושלים לדורותיה ,הנחיה מקוונת 
10208 ,ירושלים לדורותיה ,ללא מפגשי הנחיה 
10208 ,ירושלים לדורותיה ,תל אביב - תיכון חדש 
10946 ,יריבים או שותפים: יחסי דמוקרטיה ותקשורת ,ללא מפגשי הנחיה 
10946 ,יריבים או שותפים: יחסי דמוקרטיה ותקשורת ,תל אביב - ביס אליאנס 
20456 ,כימיה אורגנית ,הנחיה מקוונת 
20456 ,כימיה אורגנית ,הנחיה מקוונת 
20456 ,כימיה אורגנית ,תל אביב - ביס אליאנס 
20437 ,כימיה כללית ,הנחיה מקוונת 
20437 ,כימיה כללית ,הנחיה מקוונת 
20437 ,כימיה כללית ,הנחיה מקוונת 
20437 ,כימיה כללית ,הנחיה מקוונת 
20437 ,כימיה כללית ,תל אביב - קמפוס רמת אביב 
20437 ,כימיה כללית ,תל אביב - ביס אליאנס 
20470 ,כימיה כללית א ,הנחיה מקוונת 
20470 ,כימיה כללית א ,הנחיה מקוונת 
20470 ,כימיה כללית א ,חיפה - קמפוס חיפה בבית בירם 
20470 ,כימיה כללית א ,תל אביב - קמפוס רמת אביב 
20470 ,כימיה כללית א ,תל אביב - ביס אליאנס 
20470 ,כימיה כללית א ,באר שבע - קמפוס בית יציב 
10574 ,כלכלה בין-דורית ,הנחיה מקוונת 
10574 ,כלכלה בין-דורית ,ללא מפגשי הנחיה 
10574 ,כלכלה בין-דורית ,קבוצה ללא מפגשי הנחיה 
10426 ,כלכלה ניהולית ,הנחיה מקוונת 
10426 ,כלכלה ניהולית ,ללא מפגשי הנחיה 
10832 ,כלכלה פוליטית בין לאומית ,ללא מפגשי הנחיה 
10832 ,כלכלה פוליטית בין לאומית ,תל אביב - ביס אליאנס 
10917 ,כלכלה ציבורית ,הנחיה מקוונת 
10917 ,כלכלה ציבורית ,ללא מפגשי הנחיה 
10917 ,כלכלה ציבורית ,קבוצה ללא מפגשי הנחיה 
12202 ,כלכלה ציבורית ופוליטית ,הנחיה מקוונת 
12202 ,כלכלה ציבורית ופוליטית ,ירושלים - קמפוס ירושלים בגן הטכנולוגי 
12202 ,כלכלה ציבורית ופוליטית ,ואדי ערה - קמפוס ואדי ערה 
12202 ,כלכלה ציבורית ופוליטית ,מודיעין - המרכז הרב תחומי 
12202 ,כלכלה ציבורית ופוליטית ,אור יהודה - מכללת אור יהודה 
12202 ,כלכלה ציבורית ופוליטית ,רמלה -האוניברסיטה הפתוחה-קרן רמלה לחינוך 
12202 ,כלכלה ציבורית ופוליטית ,אשדוד - מכללת אשדוד 
12202 ,כלכלה ציבורית ופוליטית ,אילת - האוניברסיטה הפתוחה 
14024 ,כלכלת חינוך ,הנחיה מקוונת 
10954 ,כלכלת ישראל ,הנחיה מקוונת 
10954 ,כלכלת ישראל ,ללא מפגשי הנחיה 
10954 ,כלכלת ישראל ,קבוצה ללא מפגשי הנחיה 
10998 ,כלכלת ישראל משולב התנסות מעשית ,הנחיה מקוונת 
10519 ,כלכלת עבודה ,הנחיה מקוונת 
10519 ,כלכלת עבודה ,ללא מפגשי הנחיה 
10519 ,כלכלת עבודה ,קבוצה ללא מפגשי הנחיה 
13409 ,כלכלת עסקים ,הנחיה מקוונת 
91529 ,כתיבה אקדמית למדיניות ציבורית ,הנחיה מקוונת 
10811 ,כתיבה של נייר מדיניות ,ירושלים - קמפוס ירושלים בגן הטכנולוגי 
10811 ,כתיבה של נייר מדיניות ,חיפה - קמפוס חיפה בבית בירם 
10811 ,כתיבה של נייר מדיניות ,אור יהודה - מכללת אור יהודה 
10811 ,כתיבה של נייר מדיניות ,אור יהודה - מכללת אור יהודה 
10811 ,כתיבה של נייר מדיניות ,אור יהודה - מכללת אור יהודה 
10811 ,כתיבה של נייר מדיניות ,אור יהודה - מכללת אור יהודה 
10811 ,כתיבה של נייר מדיניות ,אור יהודה - מכללת אור יהודה 
10811 ,כתיבה של נייר מדיניות ,באר שבע - קמפוס בית יציב 
10811 ,כתיבה של נייר מדיניות ,באר שבע - קמפוס בית יציב 
10811 ,כתיבה של נייר מדיניות ,רמלה -האוניברסיטה הפתוחה-קרן רמלה לחינוך 
10811 ,כתיבה של נייר מדיניות ,אשדוד - מכללת אשדוד 
10811 ,כתיבה של נייר מדיניות ,אשדוד - מכללת אשדוד 
10811 ,כתיבה של נייר מדיניות ,אשדוד - מכללת אשדוד 
10698 ,לגדול עם הטלוויזיה והאינטרנט ,הנחיה מקוונת 
10698 ,לגדול עם הטלוויזיה והאינטרנט ,הנחיה מקוונת 
10698 ,לגדול עם הטלוויזיה והאינטרנט ,הנחיה מקוונת 
10698 ,לגדול עם הטלוויזיה והאינטרנט ,ללא מפגשי הנחיה 
10698 ,לגדול עם הטלוויזיה והאינטרנט ,ירושלים - קמפוס ירושלים בגן הטכנולוגי 
10698 ,לגדול עם הטלוויזיה והאינטרנט ,פתח תקוה - מכללת פתח תקוה 
10698 ,לגדול עם הטלוויזיה והאינטרנט ,בית ברל - המכללה הקהילתית 
10698 ,לגדול עם הטלוויזיה והאינטרנט ,רמת גן - מכללת רמת גן 
10698 ,לגדול עם הטלוויזיה והאינטרנט ,באר שבע - קמפוס בית יציב 
10698 ,לגדול עם הטלוויזיה והאינטרנט ,רחובות - מכללת רחובות 
10640 ,להבין סרטים: מבוא לאמנות הקולנוע ,הנחיה מקוונת 
10640 ,להבין סרטים: מבוא לאמנות הקולנוע ,הנחיה מקוונת 
10640 ,להבין סרטים: מבוא לאמנות הקולנוע ,הנחיה מקוונת 
10640 ,להבין סרטים: מבוא לאמנות הקולנוע ,הנחיה מקוונת 
10640 ,להבין סרטים: מבוא לאמנות הקולנוע ,הנחיה מקוונת 
10640 ,להבין סרטים: מבוא לאמנות הקולנוע ,ללא מפגשי הנחיה 
10640 ,להבין סרטים: מבוא לאמנות הקולנוע ,ירושלים - קמפוס ירושלים בגן הטכנולוגי 
10640 ,להבין סרטים: מבוא לאמנות הקולנוע ,ואדי ערה - קמפוס ואדי ערה 
10640 ,להבין סרטים: מבוא לאמנות הקולנוע ,אום אל פחם - המרכז הקהילתי העירוני 
10640 ,להבין סרטים: מבוא לאמנות הקולנוע ,פתח תקוה - מכללת פתח תקוה 
10640 ,להבין סרטים: מבוא לאמנות הקולנוע ,תל אביב - קמפוס רמת אביב 
10640 ,להבין סרטים: מבוא לאמנות הקולנוע ,תל אביב - קמפוס רמת אביב 
10640 ,להבין סרטים: מבוא לאמנות הקולנוע ,אשדוד - מכללת אשדוד 
20466 ,לוגיקה למדעי המחשב ,הנחיה מקוונת 
20466 ,לוגיקה למדעי המחשב ,הנחיה מקוונת 
20466 ,לוגיקה למדעי המחשב ,הנחיה מקוונת 
20466 ,לוגיקה למדעי המחשב ,הנחיה מקוונת 
20466 ,לוגיקה למדעי המחשב ,ללא מפגשי הנחיה 
20466 ,לוגיקה למדעי המחשב ,פתח תקוה - מכללת פתח תקוה 
20466 ,לוגיקה למדעי המחשב ,תל אביב - תיכון חדש 
20466 ,לוגיקה למדעי המחשב ,תל אביב - ביס אליאנס 
20466 ,לוגיקה למדעי המחשב ,תל אביב - ביס אליאנס 
20466 ,לוגיקה למדעי המחשב ,תל אביב - ביס אליאנס 
10527 ,ליקויי למידה ,הנחיה מקוונת 
10527 ,ליקויי למידה ,הנחיה מקוונת 
10527 ,ליקויי למידה ,ללא מפגשי הנחיה 
10527 ,ליקויי למידה ,ירושלים - קמפוס ירושלים בגן הטכנולוגי 
10527 ,ליקויי למידה ,מודיעין - המרכז הרב תחומי 
10527 ,ליקויי למידה ,תל אביב - ביס אליאנס 
10593 ,ליקויי קריאה ,ללא מפגשי הנחיה 
10593 ,ליקויי קריאה ,תל אביב - ביס אליאנס 
10641 ,"לשון, חברה ותרבות ",הנחיה מקוונת 
10641 ,"לשון, חברה ותרבות ",ללא מפגשי הנחיה 
10641 ,"לשון, חברה ותרבות ",רמת גן - מכללת רמת גן 
10641 ,"לשון, חברה ותרבות ",באר שבע - קמפוס בית יציב 
10961 ,מאפקים חדשים לרוח אחרת: אמנות ישראלית ,הנחיה מקוונת 
10961 ,מאפקים חדשים לרוח אחרת: אמנות ישראלית ,ללא מפגשי הנחיה 
10153 ,מבוא לאנתרופולוגיה ,הנחיה מקוונת 
10153 ,מבוא לאנתרופולוגיה ,הנחיה מקוונת 
10153 ,מבוא לאנתרופולוגיה ,הנחיה מקוונת 
10153 ,מבוא לאנתרופולוגיה ,ללא מפגשי הנחיה 
10153 ,מבוא לאנתרופולוגיה ,ירושלים - שלוחת המכללה למדעי הספורט 
10153 ,מבוא לאנתרופולוגיה (שפה – ערבית) ,סחנין - מרכז האוניברסיטה הפתוחה 
10153 ,מבוא לאנתרופולוגיה (שפה – ערבית) ,המכללה הישראלית למדעי הספורט - סחנין 
10153 ,מבוא לאנתרופולוגיה (שפה – ערבית) ,נצרת - האוניברסיטה הפתוחה 
10153 ,מבוא לאנתרופולוגיה (שפה – ערבית) ,חיפה - קמפוס חיפה בבית בירם 
10153 ,מבוא לאנתרופולוגיה ,ואדי ערה - קמפוס ואדי ערה 
10153 ,מבוא לאנתרופולוגיה ,פתח תקוה - מכללת פתח תקוה 
10153 ,מבוא לאנתרופולוגיה ,תל אביב - ביס אליאנס 
10153 ,מבוא לאנתרופולוגיה ,רמת גן - מכללת רמת גן 
10153 ,מבוא לאנתרופולוגיה (שפה – ערבית) ,עכו - שלוחת המכללה למדעי הספורט 
10153 ,מבוא לאנתרופולוגיה (שפה – ערבית) ,עכו - שלוחת המכללה למדעי הספורט 
20551 ,מבוא לבינה מלאכותית ,הנחיה מקוונת 
20551 ,מבוא לבינה מלאכותית ,הנחיה מקוונת 
20551 ,מבוא לבינה מלאכותית ,ללא מפגשי הנחיה 
20551 ,מבוא לבינה מלאכותית ,תל אביב - קמפוס רמת אביב 
20551 ,מבוא לבינה מלאכותית ,תל אביב - ביס אליאנס 
10705 ,מבוא לביקורת חשבונות ,הנחיה מקוונת 
10705 ,מבוא לביקורת חשבונות ,הנחיה מקוונת 
10165 ,מבוא לגישות ושיטות במדע המדינה ,הנחיה מקוונת 
10165 ,מבוא לגישות ושיטות במדע המדינה ,הנחיה מקוונת 
10165 ,מבוא לגישות ושיטות במדע המדינה ,ללא מפגשי הנחיה 
10165 ,מבוא לגישות ושיטות במדע המדינה ,תל אביב - ביס אליאנס 
12201 ,מבוא לגישות ושיטות במדע המדינה לתואר שני ,הנחיה מקוונת 
12201 ,מבוא לגישות ושיטות במדע המדינה לתואר שני ,שפרעם - מכללת אפאק 
12201 ,מבוא לגישות ושיטות במדע המדינה לתואר שני ,חיפה - קמפוס חיפה בנמל 
12201 ,מבוא לגישות ושיטות במדע המדינה לתואר שני ,ואדי ערה - קמפוס ואדי ערה 
12201 ,מבוא לגישות ושיטות במדע המדינה לתואר שני ,ואדי ערה - קמפוס ואדי ערה 
12201 ,מבוא לגישות ושיטות במדע המדינה לתואר שני ,אשדוד - מכללת אשדוד 
10109 ,מבוא להיסטוריה של המזרח התיכון בעת החדשה ,הנחיה מקוונת 
